Product Title,Product Price,Number of Ratings,Number of Stars
Rule of Rose - PlayStation 2,"$1,099.90",79 ratings,4.1 out of 5
"A Shadow in the Ember: Flesh and Fire, Book 1",$7.99 Kindle Edition,"17,632 ratings",4.7 out of 5
"Benchmark Bouquets 2 Dozen Red Roses, With Vase (Fresh Cut Flowers)",Currently unavailable.,"2,834 ratings",4.4 out of 5
Resident Evil Revelations - Xbox One Standard Edition,$25.49,261 ratings,4.6 out of 5
Playstation DualSense Wireless Controller,$59.95,"72,662 ratings",4.8 out of 5
"Dell OptiPlex Computer Desktop PC, Intel Core i5 3rd Gen 3.2 GHz, 16GB RAM, 2TB HDD, New 22 Inch LED Monitor, RGB Keyboard and Mouse, WiFi, Windows 10 Pro (Renewed)",$248.00,"1,353 ratings",3.8 out of 5
"YogaToes GEMS: Gel Toe Stretcher & Toe Separator - America’s Choice for Fighting Bunions, Hammer Toes, & More!",Currently unavailable.,"10,974 ratings",4.5 out of 5
"Ostrichpillow Original - Travel Pillow for Head Support | Neck Pillow for Travel, Plane Pillow, Car Pillow, Neck Pillow for Desk (Sleepy Blue)",$99.00,370 ratings,4.1 out of 5
THE ORIGINAL Taco Toaster | 2 Healthy Taco Shell Makers | Crispy Healthy Tacos Shells Right From Your Toaster | Take Tacos To The Next Level,$18.49,"1,595 ratings",3.6 out of 5
"SGIN 17"" Laptop, 8GB RAM 256GB SSD Notebook, 17 Inch Laptops with IPS Full HD, Intel Celeron N4020(Up to 2.8GHz), Mini HDMI, Webcam, Dual Wi-Fi, Windows 11 Home, Expandable Storage 512GB TF(Gray)",$399.99,870 ratings,4.6 out of 5
"HP EliteDesk 800 G1 SFF High Performance Business Desktop Computer, Intel Quad Core i5-4590 upto 3.7GHz, 16GB RAM, 1TB HDD, 256GB SSD (boot), DVD, WiFi, Windows 10 Professional (Renewed)",$204.98,"2,377 ratings",4.2 out of 5
"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",Only 1 left in stock - order soon,"2,671 ratings",4.4 out of 5
"Apple 2023 MacBook Pro Laptop M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage. Works with iPhone/iPad; Silver","$2,648.95",59 ratings,4.3 out of 5
Dell Optiplex 7050 SFF Desktop PC Intel i7-7700 4-Cores 3.60GHz 32GB DDR4 1TB SSD WiFi BT HDMI Duel Monitor Support Windows 10 Pro Excellent Condition(Renewed),$296.00,605 ratings,4.1 out of 5
"Lenovo 2023 Newest Ideapad 1i 14"" HD Ultra-Light Laptop, Intel Pentium N5030 4-Core(Beat N4020), 4GB RAM, 128GB Storage, Stereo Speakers, Up to 10 Hours, WiFi, USB-A&C, 1 Year Microsoft 365, Win11 S",$209.99,10 ratings,4.4 out of 5
"Lenovo 2023 Newest Ideapad 1i 14"" HD Ultra-Light Laptop, Intel Pentium N5030 4-Core(Beat N4020), 4GB RAM, 128GB Storage, Stereo Speakers, Up to 10 Hours, WiFi, USB-A&C, 1 Year Microsoft 365, Win11 S",$209.99,10 ratings,4.4 out of 5
"Lenovo Flex 3 Chromebook 2-in-1 11.6"" HD (1366 x 768) Touchscreen Laptop (4-Core MediaTek MT8173C, 4GB RAM, 128GB (64GB eMMC+64GB SD Card)) flip-and-fold, Type-C, Webcam, Chrome OS",$219.98,134 ratings,4.6 out of 5
"HP Elite Desktop Computer PC, 3.1 GHz, Intel Core i5, 16GB, RAM, 2TB HDD, New 22 inch LED Monitor, RGB Speaker and Keyboard Mouse, WiFi, Windows 10 Pro (Renewed)",$244.94,559 ratings,3.8 out of 5
"HP Elite Desktop Computer PC, 3.1 GHz, Intel Core i5, 16GB, RAM, 2TB HDD, New 22 inch LED Monitor, RGB Speaker and Keyboard Mouse, WiFi, Windows 10 Pro (Renewed)",$244.94,559 ratings,3.8 out of 5
"Dell OptiPlex 7020 Desktop Computer,Intel Quad Core i7 4790 3.6Ghz, 32GB Ram New 2TB SSD, AC8260 Built-in WiFi,Dual Monitor Support,HDMI DVD-RW Windows 10 Pro,Altec Wireless Keyboard Mouse(Renewed)",$281.70,5 ratings,3.9 out of 5
"KAMRUI Mini PC Windows 11 Pro, 16GB RAM 512GB M.2 SSD, Intel 11th Gen N5105 (up to 2.9GHz) Mini Computer, 2.5-inch SSD, Gigabit Ethernet, 4K UHD, WiFi, BT, VESA/Home/Business Mini Desktop Computer",$269.95,397 ratings,4.6 out of 5
"HP Elite RGB Desktop Computer PC, Intel Core i7 up to 3.8GHz, 16G RAM, 512G SSD, New 22 inch FHD LED Monitor, RGB Keyboard and Mouse, RGB BT Sound Bar, Webcam, WiFi, BT 5.0, Windows 10 Pro (Renewed)",$399.99,9 ratings,3.2 out of 5
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",In Stock,"1,963 ratings",4.3 out of 5
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",In Stock,"1,963 ratings",4.3 out of 5
"HP 22"" All-in-One Desktop, AMD Athlon Silver 3050U Processor, AMD Radeon Graphics, 4 GB RAM, 256 GB SSD, Windows 11 Home (22-dd0210, Snow white)",,426 ratings,4.6 out of 5
"HP Gaming PC Desktop Computer - Intel Quad I5-7500 up to 3.8GHz, 32GB DDR4 Memory, 128G SSD + 3TB, GeForce GTX 1660 Super 6G, RGB Keyboard & Mouse, WiFi & Bluetooth 5.0, Win 10 Pro (Renewed)",$489.99,18 ratings,3.8 out of 5
"HP 2022 Stream 14"" HD Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB eMMC Storage, HD Webcam, HDMI, Wi-Fi, Bluetooth, Rose Gold, Office 365 1-Year, Windows 11 S, 32GB SnowBell USB Card",$339.00,109 ratings,4.3 out of 5
"MINISFORUM Neptune Series HX99G Mini PC AMD Ryzen 9 6900HX Windows 11 Pro Desktop Computer, DDR5 32GB RAM+512GB SSD, 2X HDMI & 2X USB4 Quad Outputs, AMD Radeon RX 6600M Discrete Graphics Small PC","$1,269.90",59 ratings,4.6 out of 5
"Mini Gaming PC, AMD Ryzen 7 4800U (8C/16T, up to 4.2Ghz) 16GB DDR4 512GB SSD Mini PC Windows 11 Pro, 4K@60Hz Triple Display Mini Desktop Computers Portable WiFi 5 Bluetooth, Support Auto Power On",$479.00,19 ratings,4.8 out of 5
"lenovo ThinkCentre M73 SFF Small Form Factor Business Desktop Computer, Intel Dual-Core i3-4130 3.4GHz, 8GB RAM, 500GB HDD, USB 3.0, WiFi, DVD, Windows 10 Professional (Renewed)",$77.20,471 ratings,4.3 out of 5
"You Can't Joke About That: Why Everything Is Funny, Nothing Is Sacred, and We're All in This Together",$14.99 Kindle Edition,87 ratings,4.4 out of 5
"Kat Timpf: Witty, Wisdom, and Sassy - The Quirky and Quippy Biography of a Comedy Queen and Political Commentator",$12.95,14 ratings,3 out of 5
"You Can't Joke About That: Why Everything Is Funny, Nothing Is Sacred, and We're All in This Together",$14.99 Kindle Edition,87 ratings,4.4 out of 5
The Hunger Games Trilogy, Kindle Edition,"43,549 ratings",4.8 out of 5
"Cat's Cradle (Klutz Activity Kit) 9.44"" Length x 0.5"" Width x 5.75"" Height",$11.18,"6,279 ratings",4.7 out of 5
100 Task Cards in a Box: Literary Text: Mini-Passages with Key Questions to Boost Reading Comprehension Skills,$25.56,49 ratings,4.7 out of 5
Fantasy Wizard,$14.20,197 ratings,4.7 out of 5
Bible Challenge: Pocket Edition (Over 580 Bible Trivia Questions),$15.49,367 ratings,4.8 out of 5
Star Wars Trivia,$13.41,32 ratings,4.4 out of 5
